FOOD_NM,INGREDIENTS,TYPE,Quantity
거봉,포도(거봉),후식,663.0
훈민정음빵,팬케이크가루(핫케이크가루),후식,
전어소금구이,전어/생것,반찬,
닭다리칼국수,호박(애호박),국,
버섯달걀장조림,간장(양조간장),반찬,
부추잡채,콩기름(대두유),반찬,
소고기볶음,물엿,반찬,
들기름막국수,가쓰오메밀장국,국,
가쓰오장국,가쓰오부시 과립,국,
돼지고기족발,물엿(황물엿),반찬,
무쌈,무쌈(레몬),반찬,
쪽파무침,고춧가루,반찬,
잘찍어떡갈비,스테이크(햄버그스테이크)/떡갈비맛,반찬,
로제치즈분모자볶이,떡볶이떡(구멍떡볶이떡),반찬,
베이컨달걀스크램블,베이컨/국산,반찬,
소고기무국,간장(재래간장)/친환경,국,38952.0
삼치살감자조림,삼치살,반찬,
닭살칠리소스볶음,간장(양조간장)/국산,반찬,
감자호박된장국,된장(전통된장)/전통식품인증,국,
야채참깨드레싱샐러드,드레싱(참깨흑임자드레싱),후식,
소고기해장국,"배추(얼갈이, 단배추)/친환경",국,
가지나물볶음,간장(양조간장),반찬,
모듬잡채,깨(참깨)/볶은것,반찬,
오징어오이쌈,양파/친환경,반찬,
순대곱창볶음,소금(꽃소금),반찬,
취나물무침,참기름,반찬,
누룽지,누룽지,밥,
달걀장조림,간장(왜간장),반찬,
닭날개데리야끼조림,간장(양조간장),반찬,
카레라이스,콩기름(대두유),밥,
군만두,콩기름(대두유),반찬,
돼지고기스테이크덮밥,멥쌀(백미)/친환경,밥,
블루베리크림치즈베이글,치즈(크림치즈),후식,
미역된장국,두부/친환경,국,
비빔밥,간장(양조간장),밥,
쿠키,쿠키,후식,33303.0
건새우얼갈이된장국,다시마/말린것(건조),국,
찹쌀약과,약과,후식,
찰흑미밥,찹쌀(백미)/친환경,밥,
삼색나물,"도라지/껍질제거(깐것), 실채",반찬,17465.0
송편,송편(깨송편),후식,1449.0
유과,유과,후식,
건새우고추장볶음,간장(양조간장),반찬,
맥적구이,간장/장아찌용,반찬,
숙주미나리들깨무침,간장(재래간장),반찬,
비엔나소시지채소볶음,참기름,반찬,
타래만두구이,현미유,반찬,
오징어볶음,콩기름(대두유),반찬,
애호박새우젓갈볶음,콩기름(대두유),반찬,
삼치데리야끼소스구이,콩기름(대두유),반찬,
콩나물겨자무침,"깨(참깨)/볶은것, 껍질제거(깐것)",반찬,
대패삼겹살구이,유채씨유(카놀라유),반찬,
쌈장,참기름/국산,반찬,
홍합살미역국,간장(재래간장),국,
아이스슈,아이스슈,후식,
스팸스크램블덮밥,멥쌀(백미)/친환경,밥,
연근무화과조림,연근/친환경,반찬,
크림치즈약과샌드,치즈(크림치즈),후식,
유기농식혜,식혜/친환경,후식,
열무보리비빔밥,고추장,밥,
멸치건새우볶음,깨(참깨)/볶은것,반찬,
소고기토란국,간장(재래간장),국,
잡채,양파/껍질제거(깐것),반찬,45730.0
돼지갈비찜,돼지고기(사태)/조림용,반찬,5084.0
연두부달걀샐러드,토마토(방울토마토(체리토마토))/친환경,반찬,
뿌링클순살치킨,시즈닝/양파맛,반찬,
유부잡채,간장(재래간장)/친환경,반찬,
어묵무국,어묵,국,
오이양파생채,양파/친환경,반찬,
타르타르소스,레몬,반찬,
브로콜리초장,설탕(백설탕),반찬,
참치김치볶음,깨(참깨)/볶은것,반찬,19938.0
콩나물당근무침,당근/친환경,반찬,
애호박전,고추(붉은고추(홍고추))/친환경,반찬,
대구살미역국,간장(재래간장)/친환경,국,
골드키위,키위(골드키위),후식,78202.0
맵구마돈까스,후추,반찬,
딸기우유,우유(딸기우유),후식,
토마토,올리브유,후식,
감자채볶음,당근,반찬,
코다리살양념구이,파(실파)/껍질제거(깐것),반찬,
청포도,포도(청포도),후식,
