FOOD_NM,INGREDIENTS,TYPE
갈비탕(국제),"마늘/껍질제거(깐것), 꼭지제거",국
분모자불떡볶이,당근,반찬
탱탱새우부추전(국제),당근,반찬
오리엔탈치커리무침,양파/껍질제거(깐것),반찬
속청콩밥(추천),멥쌀(백미)/GAP,밥
단배추조갯살된장국,"마늘/껍질제거(깐것), 꼭지제거",국
모듬야채스틱,"마늘/껍질제거(깐것), 꼭지제거",후식
세발돌나물무침(국제),"마늘/껍질제거(깐것), 꼭지제거",반찬
버터플라이새우치즈구이,마늘/국산,반찬
깻잎지(국제),깻잎통조림,반찬
요구르트/무지방,발효유(액상요구르트)/무가당,후식
쇠고기콩나물국(국제),"마늘/껍질제거(깐것), 꼭지제거",국
아몬드멸치조림(국제),아몬드/슬라이스,반찬
갑오징어곤약조림(국제),깨(참깨)/볶은것,반찬
나쵸치킨샐러드,사과,후식
생크림크로칸슈,슈크림빵,후식
홍국쌀병아리콩밥(국제),기능성찹쌀(홍국균),밥
추어탕(국제),"마늘/껍질제거(깐것), 꼭지제거",국
코다리살엿장조림(국제),"땅콩/볶은것, 껍질제거(깐것), 조각낸것",반찬
담양떡갈비(국제),밤/껍질제거(깐것),반찬
청포도&적포도,포도(레드글로브),후식
검정쌀밥(국제),멥쌀(백미)/GAP,밥
고구마빵,케이크(고구마무스),후식
마늘쫑고추장무침(추천),"마늘/껍질제거(깐것), 꼭지제거",반찬
땡초부추전(국제),당근,반찬
야채쌈오리,당근,반찬
온국수(국제),당근,밥
닭통살꼬치,빵가루(프라이드닭꼬치),반찬
오렌지민트주스,주스(과일채소샐러드주스),후식
삶은계란(표준),달걀(전란),반찬
모양설기,시루떡(딸기잼설기),반찬
상추오이파겉절이(고),"마늘/껍질제거(깐것), 꼭지제거",반찬
칠리소스닭봉구이(국제),"마늘/껍질제거(깐것), 꼭지제거",반찬
새송이가지전(국제),큰느타리버섯(새송이버섯),반찬
해물된장찌개(국제),"마늘/껍질제거(깐것), 꼭지제거",국
치킨샐러드(국제),토마토(방울토마토(체리토마토))/샐러드용,반찬
라운드햄구이(국제),달걀(전란),반찬
오이소박이(국제),"마늘/껍질제거(깐것), 꼭지제거",김치
사과(친환경),사과/친환경,후식
단호박스프(국제),양파/껍질제거(깐것),국
루꼴라스파게티/토마토,토마토,밥
목살스테이크(국제),"사과(부사, 후지)",반찬
사천마라찜닭,당근,반찬
숙주부추무침(국제),"마늘/껍질제거(깐것), 꼭지제거",반찬
참나물전(국제),당근,반찬
경주빵,경주빵,후식
그린카레라이스,멥쌀(백미)/GAP,밥
들깨미역국(추천),디포리,국
블럭치즈돈카츠,"사과(부사, 후지)",반찬
흑당버블라떼,우유,후식
강황블루베리쌀밥(국제),"기능성멥쌀(강황, 울금)",밥
대합미역국(중등),디포리,국
청포묵토마토샐러드,레몬/일반,후식
달래오코노모야끼(국제),마,반찬
당근사과주스,과채주스(당근농축과즙),후식
쌀보리밥(국제),멥쌀(백미)/GAP,밥
육칼국수,"마늘/껍질제거(깐것), 꼭지제거",밥
참나물들깨가루무침(국제),"마늘/껍질제거(깐것), 꼭지제거",반찬
돼지고기불고기(국제),배,반찬
삼치데리야끼구이(국제),양파/껍질제거(깐것),반찬
삼색계란찜(국제),당근,반찬 
오징어브로콜리초장(고),"마늘/껍질제거(깐것), 꼭지제거",반찬
불낙전골(고),배,국
북어콩나물국(국제),"마늘/껍질제거(깐것), 꼭지제거",국
풋고추멸치조림,"마늘/껍질제거(깐것), 꼭지제거",반찬
꽃두부구이,고추(붉은고추(홍고추)),반찬
등갈비양념구이,"사과(부사, 후지)",반찬
