FOOD_NM,INGREDIENTS,TYPE,Quantity
버섯소불고기,당근,반찬,24604.037077778852
나박김치,김치(나박김치),반찬,16592.227790383862
궁채나물,고추(붉은고추(홍고추)),반찬,16050.66925341235
독도사랑주스,에이드(레드자몽에이드),후식,27295.441232129302
닭살삼계탕,인삼(수삼)/세척한것,국,64509.74656947579
진미채도라지볶음,고추장,반찬,22665.312893535363
해물우동볶음,혼다랑어,반찬,16397.790179667103
아욱수제비국,다시마/말린것(건조),국,48994.89612577364
월도프샐러드,마요네즈/친환경,후식,58490.187132448686
제육볶음,큰느타리버섯(새송이버섯)/소(小),반찬,16397.790179667103
옥수수치즈그랑탕,양파/껍질제거(깐것),반찬,25176.290572047375
뿌팟퐁카레,양배추/친환경,반찬,33165.73187218026
알감자버터구이,콩기름(대두유),반찬,16880.09770074522
쌀눈현미밥,기능성멥쌀(쌀눈),밥,79709.69166727668
분모자짜장찜닭,당근/친환경,반찬,46291.30106742997
찰보리밥,보리(찰보리)/친환경,밥,108589.6562339566
유기농나물밥,멥쌀(백미)/친환경,밥,86871.10993897004
과일푸딩,푸딩(사과푸딩),후식,27295.441232129302
쭈꾸미야채비빔밥,고춧가루,밥,76033.92114742397
오이지무침,마늘,반찬,33614.545313458046
바베큐폭찹,피망(청피망),반찬,16397.790179667103
연어데리야끼조림,분말(카레분말)/순한맛,반찬,16397.790179667103
연근채강정,매실청,반찬,16397.790179667103
도토리묵채국,김치(맛김치)/숙성시킨것,국,37794.255246552886
과일채소주스,혼합음료(사과당근채소음료),후식,27295.441232129302
느타리버섯시금치무침,참기름,반찬,17199.191292378287
열무무침,된장,반찬,9853.331117144968
유부된장국,파(대파),국,39760.12947510316
소시지페이스트리,치즈(노란체다치즈),후식,27295.441232129302
달걀야채볶음밥,콩기름(대두유),밥,77606.39916023344
우엉명엽채조림,우엉,반찬,16397.790179667103
시금치무침,깨(참깨)/볶은것,반찬,16738.63296610205
치킨너겟,콩기름(대두유),반찬,16880.09770074522
나물비빔밥,청주,밥,79709.69166727668
교자만두찜,딤섬,반찬,16397.790179667103
짬뽕순두부,파(대파),반찬,18040.193240398854
돼지고기간장불고기,굴소스,반찬,16397.790179667103
김치볶음,간장(양조간장),김치,35623.87889087783
카레소스,피망(청피망),반찬,16397.790179667103
골뱅이야채무침,당근,반찬,24604.037077778852
레몬파닭,설탕(백설탕),반찬,16724.96239664548
스팸구이,돼지고기햄통조림/식품첨가물 미첨가,반찬,16397.790179667103
간장달걀밥,부추/국산,밥,61430.24727201201
호두멸치볶음,콩기름(대두유),반찬,16880.09770074522
카프리썬,혼합주스(오렌지망고주스),후식,27295.441232129302
두부조림,간장(양조간장),반찬,16945.85117008273
돼지고기메추리알장조림,설탕(흑설탕),반찬,16059.602360116329
참나물무침,파(실파),반찬,16397.790179667103
오리고추장불고기,간장(양조간장),반찬,16945.85117008273
식혜,식혜/친환경,후식,34677.13686648993
돼지고기바베큐구이,청주,반찬,16397.790179667103
상추쌈,물엿,반찬,16397.790179667103
연두부양념장,깨(참깨)/볶은것,반찬,16738.63296610205
오징어떡볶음,떡볶이떡/국산,반찬,17479.752419832406
마라부대찌개,간장(재래간장),국,48921.23898877593
옥수수치즈마요네즈떡갈비,떡갈비,반찬,16397.790179667103
버섯된장국,호박(애호박),국,36887.16826070509
잡곡밥,멥쌀(백미),밥,133715.50784673748
햄에그까스,콩기름(대두유),반찬,16880.09770074522
김부각,부각(미역부각),반찬,16294.374502229606
사골우거지국,된장,국,25578.18276599789
치즈볼,치즈볼,후식,27295.441232129302
깻잎나물,간장(재래간장),반찬,24447.48592604356
치즈감자전스테이크,양파/일반,반찬,22514.063813812623
식물성유산균요구르트,발효유(액상요구르트),후식,41508.907688836836
순대국,간장(재래간장),국,48921.23898877593
알타리김치,김치(총각김치),김치,34157.2024565103
달고나와플,시럽(초코시럽),후식,27295.441232129302
참치김치찌개,두부/찌개용,국,37605.33980222265
삼색묵무침,영양강화제(채소칼슘),반찬,16397.790179667103
안동찜닭,당근/일반,반찬,24032.595459629647
배도라지,주스(배주스),후식,27295.441232129302
파김치,김치(포기김치),김치,34157.2024565103
만두전골,된장(양조된장(개량식)),반찬,9853.331117144968
티라미슈무스케이크,케이크(티라미수케이크),후식,24171.646090295915
치즈연어구이,간장(양조간장),반찬,16945.85117008273
사과오이초무침,설탕(백설탕),반찬,16724.96239664548
애플고르곤졸라피자,피자(조각피자),반찬,16397.790179667103
사과주스,주스(사과주스)/가당,후식,27338.30127484731
짜장면,마늘/일반,밥,78715.8753158112
포기김치,김치(파김치),김치,34157.2024565103
흰밥,멥쌀(백미),밥,133715.50784673748
메이플피칸,파이(미니메이플피칸),후식,27295.441232129302
매운한돼지갈비찜,고추장,반찬,22665.312893535363
느타리버섯초무침,애느타리버섯/일반,반찬,16397.790179667103
매실장아찌무침,설탕(백설탕),반찬,16724.96239664548
강황밥,찹쌀(백미)/일반,밥,314109.76565953816
우동국,간장(재래간장),국,48921.23898877593
소프트햄버거,양상추/일반,반찬,16397.790179667103
김주먹밥,단무지(꼬들단무지),밥,79709.69166727668
자두쿨피스,두유(복숭아농축액두유),후식,27295.441232129302
건새우아욱된장국,파(대파)/일반,국,39760.12947510316
샤인머스캣청포도,포도(골덴마스컷),후식,11171.084605102675
순우리당면김말이구이,유채씨유(카놀라유),반찬,15899.432817817793
기름떡볶이,고추장,반찬,22665.312893535363
꿀카롱오레오,마카롱(헤이즐넛마카롱),후식,27295.441232129302
닭살미역국,닭고기(성계)/껍질제거(깐것),국,37661.48240908886
오이부추무침,소금(꽃소금),반찬,15016.389978566312
표고버섯호박볶음,깨(참깨)/껍질제거(깐것),반찬,17430.619212520523
고구마치즈돈까스,설탕(백설탕),반찬,16724.96239664548
소시지케첩볶음,마늘/일반,반찬,15756.16757678401
나가사끼새알심만두국,청경채/일반,국,37599.81763583613
두부,마늘/일반,반찬,15756.16757678401
건새우조림,설탕(백설탕),반찬,16724.96239664548
순대야채볶음,간장(양조간장),반찬,16945.85117008273
공신젤리,젤리,후식,27295.441232129302
오리훈제구이,오리훈제/슬라이스,반찬,16397.790179667103
바지락된장찌개,팽이버섯/일반,국,37599.81763583613
리얼피치아이스티,생수,후식,27295.441232129302
소고기카레라이스,분말(카레분말)/순한맛,밥,79709.69166727668
숙주게맛살무침,마늘/일반,반찬,15756.16757678401
치킨텐더또띠아,마요네즈(전란),반찬,14762.044654661775
우엉채어묵조림,설탕(백설탕),반찬,16724.96239664548
김치두부국,두부/찌개용,국,37605.33980222265
갈릭갈비떡볶음,파(대파)/일반,반찬,18040.193240398854
더블치즈투움바스테이크,양파/일반,반찬,22514.063813812623
애플망고주스,혼합주스(망고파인애플주스),후식,27295.441232129302
연근유자청샐러드,유자청,후식,27295.441232129302
단풍케이크,케이크(통밀케이크),후식,24171.646090295915
삼치데리야끼구이,튀김가루,반찬,16397.790179667103
소고기미역국,한우(양지)/국산,국,31349.3469171711
명품떡갈비,양송이버섯/일반,반찬,16397.790179667103
치코바치킨덮밥,굴소스/국산,밥,61430.24727201201
연두부달걀국,간장(재래간장),국,48921.23898877593
오오새우까스,콩기름(대두유),반찬,16880.09770074522
노란키위,키위(골드참다래),후식,38376.09003059513
순살닭갈비,당근,반찬,24604.037077778852
감자밥,감자/껍질제거(깐것),밥,77097.2177976899
두부미역된장국,팽이버섯,국,37599.81763583613
유니짜장밥,후추,밥,79709.69166727668
만두탕수,간장(양조간장),반찬,16945.85117008273
세종케이크,찜케이크(우리밀찜케이크),후식,27295.441232129302
버섯콩나물밥,참기름/국산,밥,67178.71083339327
오이게맛살무침,설탕(백설탕),반찬,16724.96239664548
불닭팽이버섯,불닭소스,반찬,16397.790179667103
콩나물김치국,김치(배추김치)/숙성시킨것,국,102454.49305242744
명엽채볶음,깨(참깨)/볶은것,반찬,16738.63296610205
할로윈초코칩녹차라떼,고구마,후식,27295.441232129302
할로윈오므라이스,콩기름(대두유),밥,77606.39916023344
짜장치킨,"생강/국산, 껍질제거(깐것)",반찬,18946.63852702449
치커리흑임자소스무침,설탕(백설탕),반찬,16724.96239664548
감자메추리알조림,설탕(백설탕),반찬,16724.96239664548
고등어고추장양념구이,설탕(백설탕),반찬,16724.96239664548
검정쌀밥,멥쌀(백미)/친환경,밥,86871.10993897004
김치,김치(배추김치),김치,107287.29966076983
쁘링클치킨,콩기름(대두유),반찬,16880.09770074522
멸치볶음,콩기름(대두유),반찬,16880.09770074522
시금치나물무침,간장(양조간장)/국산,반찬,16556.958551636944
통닭다리구이,소금(꽃소금),반찬,15016.389978566312
감자된장국,양파/친환경,국,22764.74056390477
도토리묵무침,마늘,반찬,33614.545313458046
간장불고기덮밥,멥쌀(백미),밥,133715.50784673748
비엔나소시지야채볶음,소시지(비엔나소시지),반찬,16397.790179667103
몬테크리스토샌드위치,양배추,반찬,16397.790179667103
북어채달걀국,무(조선무)/친환경,국,78762.47681020857
온두부찜,두부(검은깨두부),반찬,16403.31234605361
곡밥,찹쌀(백미)/친환경,밥,359403.67724052735
팽이버섯부추무침,간장(양조간장),반찬,16945.85117008273
동초나물무침,간장(양조간장)/국산,반찬,16556.958551636944
돼지갈비구이,파(대파)/친환경,반찬,41238.22680920702
톳밥,깨(참깨)/볶은것,밥,78361.19583340158
멸치된장찌개,된장(전통된장)/전통식품인증,국,31332.604193201543
숙주오이무침,소금(꽃소금),반찬,15016.389978566312
가지애호박라자냐,토마토(대추방울토마토),반찬,16525.3490447718
새우튀김우동,어묵(종합어묵),밥,75280.29301506502
한샤인머스캣,포도(골덴마스컷),후식,11171.084605102675
콩고기주먹밥,멥쌀(백미)/친환경,밥,86871.10993897004
불고기마요네즈떡갈비,피망(청피망)/친환경,반찬,33165.73187218026
브로콜리무침,브로콜리/친환경,반찬,33165.73187218026
소고기낙지볶음,피망(청피망)/친환경,반찬,33165.73187218026
토마토파인애플샐러드,과즙음료(레몬),후식,27501.82077948643
단호박무침,소금(구운소금),반찬,19608.68610243663
조개살미역국,간장(재래간장)/친환경,국,37918.44923741087
삼색나물무침,소금(꽃소금),반찬,15016.389978566312
닭볶음탕,"마늘/껍질제거(깐것), 꼭지제거",국,34313.284938573386
오렌지,오렌지,후식,27295.441232129302
캠핑모듬구이,돼지고기(삼겹살),반찬,16397.790179667103
김치비빔국수,파(쪽파),밥,79709.69166727668
