FOOD_NM,INGREDIENT,TYPE
햄치즈브리또,"샌드위치(햄,치즈샌드위치)",후식
돈갈비떡찜,마늘/국산,반찬
감자햄조림,감자,반찬
새송이브로컬리볶음,당근,반찬
야채쌈,모둠채소,반찬
곤드레된장국,"곤드레(고려엉겅퀴)/말린것(건조),삶은것",국
쇠고기야채볶음,당근,반찬
부추해물전,당근,반찬
전복죽,찹쌀(백미)/친환경,밥
건서대찜,서대(참서대),반찬
얼갈이겉절이,"배추(얼갈이,단배추)",김치
양송이파프리카볶음,양송이버섯,반찬
쇠갈비탕,"마늘/껍질제거(깐것),꼭지제거",국
양송이크림수프,당근/친환경,국
치즈핫도그,핫도그(미니치즈핫도그),후식
두부들기름구이/양념장,"마늘/껍질제거(깐것),꼭지제거",반찬
김치베이컨볶음,"마늘/껍질제거(깐것),꼭지제거",반찬
미트스파게티,토마토/친환경,밥
양상추파인참깨샐러드,레몬,후식
우거지된장국,배추/삶은것,국
쭈꾸미시금치회,"사과(부사,후지)",반찬
돼지갈비바베큐,돼지고기(갈비),반찬
소갈비탕,무(조선무),국
병어무조림,무(조선무),반찬
얼갈이나물,"배추(얼갈이,단배추)",반찬
오이소박이,부추,반찬
두부구이/양념장,두부,반찬
갈릭파이,파이(갈릭파이),후식
낙안요구르트,발효유(호상요구르트),후식
열무된장냉채,열무,반찬
블루베리무쌈,무쌈(블루베리무쌈),반찬
파래전,당근,반찬
오리훈제/머스터드소스,머스터드소스,반찬
북어포국,무(조선무),국
야채달걀찜,당근,반찬
새우무나물,무(조선무),반찬
오이도라지초무침,"도라지/껍질제거(깐것),채썬것(세절)",반찬
멸치우엉볶음밥,멥쌀(발아현미),밥
제주고기국수,당근/껍질제거(깐것),국
고등어무조림,"마늘/껍질제거(깐것),꼭지제거",반찬
배추겉절이,김치(배추겉절이),김치
한라봉과즐,튀밥(튀긴쌀),후식
발아현미밥,기능성찹쌀(칼슘강화),밥
버섯수제비매운탕,"마늘/껍질제거(깐것),꼭지제거",국
교자만두찜/초간장,간장(양조간장),후식
불고기쫄면,배,반찬
포기김치,김치(배추김치),김치
콩나물밥/양념장,기능성찹쌀(칼슘강화),밥
감자다시마국,"마늘/껍질제거(깐것),꼭지제거",국
콩가루가래떡,아몬드/슬라이스,후식
버섯떡갈비구이,고추(붉은고추(홍고추))/친환경,반찬
코코넛피치쥬스,주스(복숭아주스),후식
칼슘찹쌀밥,기능성찹쌀(칼슘강화),밥
참치김치찌개,"마늘/껍질제거(깐것),꼭지제거",국
알감자소세지볶음,양파/껍질제거(깐것),반찬
코다리강정,"땅콩/볶은것,껍질제거(깐것),조각낸것",반찬
차수수밥,기능성찹쌀(칼슘강화),밥
황태해장국,마늘/껍질제거(깐것),국
제육볶음,당근/껍질제거(깐것),반찬
우엉채맛탕,우엉/껍질제거(깐것),반찬
스트링치즈또띠아롤,물엿,후식
칼슘기장밥,기능성기장(칼슘강화),밥
떡만두국,"마늘/껍질제거(깐것),꼭지제거",국
오이부추무침,마늘/껍질제거(깐것),반찬
건파래볶음,아몬드/슬라이스,반찬
두부/돈육김치볶음,"마늘/껍질제거(깐것),꼭지제거",반찬
차조밥,기능성기장(칼슘강화),밥
애호박고추장찌개,"마늘/껍질제거(깐것),꼭지제거",국
청포묵김무침,당근/껍질제거(깐것),반찬
돈육버섯불고기,당근/껍질제거(깐것),반찬
홍시,감(연시)/친환경,후식
자장면,당근/껍질제거(깐것),밥
달걀파국,파(실파)/껍질제거(깐것),국
고추잡채/꽃빵,당근/껍질제거(깐것),반찬
칠리새우,레몬,반찬
단무지,단무지,반찬
클로렐라밥,기능성멥쌀(클로렐라),밥
샤브샤브국,"마늘/껍질제거(깐것),꼭지제거",국
검은콩연근조림,"마늘/껍질제거(깐것),꼭지제거",반찬
돈육등뼈김치찜,마늘/껍질제거(깐것),반찬
깍두기,김치(깍두기),김치
매콤오징어덮밥,기능성찹쌀(칼슘강화),밥
꼬지어묵국,"마늘/껍질제거(깐것),꼭지제거",국
꽃맛살샐러드,양파/껍질제거(깐것),후식
치킨까스/숙주베이컨,양파/껍질제거(깐것),반찬
유기농사과요구르트,발효유(액상요구르트)/사과맛,후식
알배기배추/쌈장,"마늘/껍질제거(깐것),꼭지제거",반찬
말린도토리묵볶음,"마늘/껍질제거(깐것),꼭지제거",반찬
연어스테이크/갈릭소스,레몬/일반,반찬
레드향,오렌지,후식
개성무찜,밤/껍질제거(깐것),반찬
해물짬뽕,당근/친환경,국
치킨꿔바로우,당근/친환경,반찬
봄동된장무침,"마늘/껍질제거(깐것),꼭지제거",반찬
메추리알장조림,"마늘/껍질제거(깐것),꼭지제거",반찬
통밀플랫브레드피자,올리브(블랙올리브)/절인것,후식
딸기크레이프,케이크(딸기케이크),후식
오징어두부찌개,"마늘/껍질제거(깐것),꼭지제거",국
숯불돼지불고기,배/국산,반찬
보조밥,기능성찹쌀(칼슘강화),밥
매콤해물볶음우동,레몬,국
메이플피칸파이,파이(미니메이플피칸)/생지,후식
유부미소된장국,마늘/껍질제거(깐것),국
미니돈까스샐러드,토마토(방울토마토(체리토마토))/친환경,후식
고구마밥,기능성찹쌀(칼슘강화),밥
매콤콩나물국,"마늘/껍질제거(깐것),꼭지제거",국
안동찜닭,당근/껍질제거(깐것),반찬
계란말이(판란),당근/껍질제거(깐것),반찬
조각단감,감(단감),후식
